Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
01/05/2026;;00000000002519;OVOS CARTELA COM 30;70,000;1189,30;16,99;818,50;0,00;0,00;370,80;31,18;45,30;16,92;16,92;A;;
01/05/2026;;00000000008064;OVOS CARTELA COM 20;53,000;688,47;12,99;60,00;0,00;0,00;628,47;91,29;1047,45;9,80;26,72;A;;
01/05/2026;;00000000002494;BATATA LISA KG;111,225;499,46;4,49;245,78;0,00;0,00;253,68;50,79;103,21;7,11;33,83;A;;
01/05/2026;;00000000004799;CENOURA KG;46,855;421,22;8,99;153,09;0,00;0,00;268,13;63,66;175,15;5,99;39,82;A;;
01/05/2026;;00000000010772;TOMATE ITALIANO KG;45,225;347,78;7,69;207,99;0,00;0,00;139,79;40,19;67,21;4,95;44,77;A;;
01/05/2026;;00000000002496;ALHO KG;21,905;306,54;13,99;196,24;21,46;0,00;110,30;28,98;56,21;4,36;49,13;A;;
01/05/2026;;00000000002497;TOMATE CARMEM KG;43,650;305,14;6,99;228,65;0,00;0,00;76,49;25,07;33,46;4,34;53,47;A;;
01/05/2026;;00000000010525;MANGA PALMER KG;49,605;247,56;4,99;262,41;0,00;0,00;-14,85;-6,00;-5,66;3,52;57,00;A;;
01/05/2026;;00000000002495;CEBOLA GRAUDA KG;59,750;178,68;2,99;111,12;0,00;0,00;67,56;37,81;60,81;2,54;59,54;A;;
01/05/2026;;00000000019308;UVA VERDE S/ CAROCO BDJ 500G;17,000;169,83;9,99;112,50;0,00;0,00;57,33;33,76;50,96;2,42;61,96;A;;
01/05/2026;;00000000000471;CARTELA OVOS C/12;24,000;167,76;6,99;150,08;0,00;0,00;17,68;10,54;11,78;2,39;64,34;A;;
01/05/2026;;00000000012302;ALFACE CRESPA UN.;71,000;141,29;1,99;140,72;0,00;0,00;0,57;0,40;0,41;2,01;66,35;A;;
01/05/2026;;00000000010522;MARACUJA KG;19,895;139,06;6,99;134,89;0,00;0,00;4,17;3,00;3,09;1,98;68,33;A;;
01/05/2026;;00000000002502;PIMENTAO KG;13,045;134,21;10,29;61,76;0,00;0,00;72,45;53,98;117,30;1,91;70,24;A;;
01/05/2026;;00000000010627;MACA GALA KG;14,095;126,71;8,99;137,57;0,00;0,00;-10,86;-8,57;-7,89;1,80;72,05;A;;
01/05/2026;;00000000010507;QUIABO KG;14,118;112,80;7,99;83,86;0,00;0,00;28,94;25,66;34,51;1,61;73,65;A;;
01/05/2026;;00000000004803;JILO KG;13,295;106,22;7,99;70,33;0,00;0,00;35,89;33,79;51,03;1,51;75,16;A;;
01/05/2026;;00000000004801;BANANA PRATA KG;22,935;103,00;4,49;94,70;0,00;0,00;8,30;8,06;8,77;1,47;76,63;A;;
01/05/2026;;00000000007660;PERA WILLIAM KG;8,920;89,09;9,99;105,32;0,00;0,00;-16,23;-18,22;-15,41;1,27;77,90;A;;
01/05/2026;;00000000019191;UVA PRETA S/ CAROCO BDJ 500G;9,000;85,41;9,49;46,80;0,00;0,00;38,61;45,21;82,50;1,22;79,11;A;;
01/05/2026;;00000000002498;LIMAO KG;33,785;84,16;2,49;65,04;0,00;0,00;19,12;22,72;29,40;1,20;80,31;B;;
01/05/2026;;00000000010508;CEBOLA MIUDA KG;17,110;76,84;4,49;34,41;0,00;0,00;42,42;55,21;123,27;1,09;81,40;B;;
01/05/2026;;00000000012307;CHEIRO VERDE UN.;30,000;74,70;2,49;45,00;0,00;0,00;29,70;39,76;66,00;1,06;82,46;B;;
01/05/2026;;00000000004798;BETERRABA KG;13,070;71,76;5,49;57,63;0,00;0,00;14,13;19,68;24,51;1,02;83,49;B;;
01/05/2026;;00000000001557;BATATA DOCE KG;12,430;67,02;5,39;46,61;0,00;0,00;20,41;30,45;43,78;0,95;84,44;B;;
01/05/2026;;00000000005062;MAMAO PAPAIA UN.;18,000;66,42;3,69;41,22;0,00;0,00;25,20;37,94;61,14;0,95;85,38;B;;
01/05/2026;;00000000004797;LARANJA PERA KG;17,500;52,32;2,99;38,67;0,00;0,00;13,64;26,08;35,28;0,74;86,13;B;;
01/05/2026;;00000000010510;REPOLHO KG;11,840;51,97;4,39;22,73;0,00;0,00;29,24;56,26;128,61;0,74;86,87;B;;
01/05/2026;;00000000007432;OVOS CAIPIRA C/12;4,000;51,96;12,99;40,00;0,00;0,00;11,96;23,02;29,90;0,74;87,61;B;;
01/05/2026;;00000000012304;COUVE UN.;30,000;50,70;1,69;45,00;0,00;0,00;5,70;11,24;12,67;0,72;88,33;B;;
01/05/2026;;00000000004804;INHAME KG;10,065;50,22;4,99;49,41;0,00;0,00;0,81;1,61;1,64;0,71;89,04;B;;
01/05/2026;;00000000010532;KIWI KG;1,970;49,23;24,99;33,14;0,00;0,00;16,09;32,69;48,57;0,70;89,74;B;;
01/05/2026;;00000000010513;PEPINO KG;8,750;47,17;5,39;46,81;0,00;0,00;0,36;0,77;0,78;0,67;90,42;B;;
01/05/2026;;00000000010529;MACA VERDE KG;2,645;44,94;16,99;30,58;0,00;0,00;14,36;31,96;46,97;0,64;91,06;B;;
01/05/2026;;00000000002208;PIMENTAO PROMOCAO KG;9,407;44,13;4,69;0,00;0,00;0,00;44,13;100,00;0,00;0,63;91,68;B;;
01/05/2026;;00000000012320;SALSINHA UN;17,000;42,33;2,49;25,50;0,00;0,00;16,83;39,76;66,00;0,60;92,29;B;;
01/05/2026;;00000000002157;TOMATE PROMOCAO KG;9,521;37,98;3,99;0,00;0,00;0,00;37,98;100,00;0,00;0,54;92,83;B;;
01/05/2026;;00000000012303;AGRIAO UN.;14,000;34,86;2,49;16,20;0,00;0,00;18,66;53,53;115,19;0,50;93,32;B;;
01/05/2026;;00000000002137;MACA GALA SC 850GR;5,000;33,95;6,79;9,70;0,00;0,00;24,25;71,43;250,00;0,48;93,80;B;;
01/05/2026;;00000000009239;BANANA PROMOCAO BDJ;11,000;32,89;2,99;0,00;4,13;2,21;32,89;80,73;0,00;0,47;94,27;B;;
01/05/2026;;00000000010505;ABOBRINHA KG;16,125;32,08;1,99;48,37;0,00;0,00;-16,29;-50,79;-33,68;0,46;94,73;B;;
01/05/2026;;00000000004802;ABACAXI GRANDE UN.;4,000;31,96;7,99;22,00;0,00;0,00;9,96;31,16;45,27;0,45;95,18;C;;
01/05/2026;;00000000010521;MELAO COMUM KG;4,510;28,82;6,39;12,81;0,00;0,00;16,01;55,56;125,01;0,41;95,59;C;;
01/05/2026;;00000000010526;COCO SECO KG;5,830;27,93;4,79;18,97;5,72;0,00;8,96;11,63;47,27;0,40;95,99;C;;
01/05/2026;;00000000010511;REPOLHO ROXO KG;2,685;24,14;8,99;7,54;0,00;0,00;16,60;68,75;219,95;0,34;96,34;C;;
01/05/2026;;00000000010509;CEBOLA ROXA KG;3,975;23,82;5,99;15,93;0,00;0,00;7,89;33,14;49,57;0,34;96,67;C;;
01/05/2026;;00000000010512;PEPINO JAPONES KG;4,365;21,77;4,99;17,59;0,00;0,00;4,18;19,20;23,76;0,31;96,98;C;;
01/05/2026;;00000000004796;CHUCHU KG;10,320;20,55;1,99;65,53;0,00;0,00;-44,98;-218,89;-68,64;0,29;97,28;C;;
01/05/2026;;00000000011382;SOPA A VACUO;2,905;20,31;6,99;0,00;0,00;0,00;20,31;100,00;0,00;0,29;97,57;C;;
01/05/2026;;00000000010523;ABACATE KG;5,255;19,39;3,69;31,85;0,00;0,00;-12,46;-64,24;-39,11;0,28;97,84;C;;
01/05/2026;;00000000010506;BERINJELA KG;2,370;18,95;8,00;8,96;0,00;0,00;9,99;52,73;111,53;0,27;98,11;C;;
01/05/2026;;00000000010531;MACA FUJI KG;1,245;17,42;13,99;16,65;0,00;0,00;0,77;4,45;4,65;0,25;98,36;C;;
01/05/2026;;00000000010514;GENGIBRE KG;1,070;15,84;14,80;6,54;0,00;1,47;9,30;49,48;142,29;0,23;98,58;C;;
01/05/2026;;00000000005727;MACA GALA PROMOCAO SC 850GR;3,000;14,37;4,79;0,00;0,00;0,00;14,37;100,00;0,00;0,20;98,79;C;;
01/05/2026;;00000000004991;BATATA LISA PROMOCAO KG;5,679;14,14;2,49;0,00;0,00;0,00;14,14;100,00;0,00;0,20;98,99;C;;
01/05/2026;;00000000012306;HORTELA UN;5,000;12,45;2,49;4,50;0,00;0,00;7,95;63,86;176,67;0,18;99,17;C;;
01/05/2026;;00000000010518;BANANA DAGUA KG;3,085;12,00;3,89;8,24;0,00;0,00;3,76;31,36;45,68;0,17;99,34;C;;
01/05/2026;;00000000007308;SALSA G;10,000;9,90;0,99;35,00;0,00;0,00;-25,10;-253,54;-71,71;0,14;99,48;C;;
01/05/2026;;00000000011757;PIMENTAO VERMELHO E AMARELO KG;0,550;7,70;14,00;2,34;0,00;0,00;5,36;69,57;228,64;0,11;99,59;C;;
01/05/2026;;00000000011861;SANDUICHE NATURAL DA CASA;1,000;7,49;7,49;0,00;0,00;0,00;7,49;100,00;0,00;0,11;99,69;C;;
01/05/2026;;00000000002474;TOMATE GRAPE 180G UN.;1,000;6,49;6,49;5,00;0,00;0,00;1,49;22,96;29,80;0,09;99,79;C;;
01/05/2026;;00000000006451;SUCO DA CASA ABACAXI  500ML;1,000;4,99;4,99;0,00;0,00;0,00;4,99;100,00;0,00;0,07;99,86;C;;
01/05/2026;;00000000012312;LOURO UN.;2,000;4,98;2,49;2,40;0,00;0,00;2,58;51,81;107,50;0,07;99,93;C;;
01/05/2026;;00000000012305;COENTRO UN.;1,000;2,49;2,49;1,70;0,00;0,00;0,79;31,73;46,47;0,04;99,96;C;;
01/05/2026;;00000000012319;CEBOLINHA UN;1,000;2,49;2,49;0,70;0,00;0,00;1,79;71,89;255,71;0,04;100,00;C;;
02/05/2026;;00000000002519;OVOS CARTELA COM 30;58,000;1006,54;17,35;676,00;0,00;0,00;330,54;32,84;48,90;8,99;8,99;A;;
02/05/2026;;00000000008064;OVOS CARTELA COM 20;75,000;974,25;12,99;40,00;0,00;0,00;934,25;95,89;2335,63;8,70;17,68;A;;
02/05/2026;;00000000002494;BATATA LISA KG;171,695;968,15;5,64;396,11;0,00;0,00;572,04;59,09;144,41;8,64;26,33;A;;
02/05/2026;;00000000002497;TOMATE CARMEM KG;78,190;679,03;8,68;409,66;0,00;0,00;269,37;39,67;65,75;6,06;32,39;A;;
02/05/2026;;00000000004799;CENOURA KG;66,575;598,51;8,99;229,48;0,00;0,00;369,03;61,66;160,81;5,34;37,73;A;;
02/05/2026;;00000000010522;MARACUJA KG;67,875;542,83;8,00;456,60;0,00;0,00;86,23;15,88;18,88;4,85;42,58;A;;
02/05/2026;;00000000010772;TOMATE ITALIANO KG;57,525;490,17;8,52;282,11;0,00;0,00;208,06;42,45;73,75;4,38;46,95;A;;
02/05/2026;;00000000002496;ALHO KG;26,450;386,38;14,61;236,02;27,05;0,00;150,36;31,92;63,71;3,45;50,40;A;;
02/05/2026;;00000000012302;ALFACE CRESPA UN.;114,000;352,86;3,10;230,74;0,00;0,00;122,12;34,61;52,93;3,15;53,55;A;;
02/05/2026;;00000000004801;BANANA PRATA KG;69,875;348,49;4,99;290,00;0,00;0,00;58,49;16,78;20,17;3,11;56,66;A;;
02/05/2026;;00000000012309;BROCOLIS UN;36,000;257,04;7,14;232,50;0,00;0,00;24,54;9,55;10,55;2,29;58,96;A;;
02/05/2026;;00000000019308;UVA VERDE S/ CAROCO BDJ 500G;25,000;249,75;9,99;162,50;0,00;0,00;87,25;34,93;53,69;2,23;61,19;A;;
02/05/2026;;00000000002502;PIMENTAO KG;21,880;225,13;10,29;101,33;0,00;0,00;123,80;54,99;122,18;2,01;63,20;A;;
02/05/2026;;00000000012305;COENTRO UN.;88,000;219,07;2,49;149,60;0,00;0,00;69,47;31,71;46,44;1,96;65,15;A;;
02/05/2026;;00000000010508;CEBOLA MIUDA KG;48,870;217,01;4,44;97,74;0,00;0,00;119,27;54,96;122,03;1,94;67,09;A;;
