Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
11/05/2026;;00000000010523;ABACATE KG;4,970;21,82;4,39;28,28;0,00;0,00;-6,46;-29,60;-22,84;-0,25;-0,25;;;
11/05/2026;;00000000004802;ABACAXI GRANDE UN.;3,000;23,97;7,99;16,50;0,00;0,00;7,47;31,16;45,27;0,29;0,04;;;
11/05/2026;;00000000004793;ABOBORA SERGIPANA KG;16,632;83,00;4,99;58,21;0,00;0,00;24,79;29,87;42,58;0,96;1,00;;;
11/05/2026;;00000000010505;ABOBRINHA KG;12,445;49,65;3,99;37,22;0,00;0,00;12,43;25,03;33,39;0,48;1,48;;;
11/05/2026;;00000000012303;AGRIAO UN.;14,000;34,86;2,49;16,80;0,00;0,00;18,06;51,81;107,50;0,70;2,18;;;
11/05/2026;;00000000012302;ALFACE CRESPA UN.;72,000;143,28;1,99;148,93;0,00;0,00;-5,65;-3,94;-3,79;-0,22;1,96;;;
11/05/2026;;00000000002496;ALHO KG;19,565;352,07;17,99;173,24;24,65;0,00;178,83;43,79;103,22;6,94;8,90;;;
11/05/2026;;00000000004801;BANANA PRATA KG;83,070;414,51;4,99;344,31;0,00;0,00;70,20;16,94;20,39;2,72;11,63;;;
11/05/2026;;00000000009239;BANANA PROMOCAO BDJ;14,000;41,86;2,99;0,00;5,08;3,60;41,86;79,27;0,00;1,62;13,25;;;
11/05/2026;;00000000001557;BATATA DOCE KG;20,815;103,88;4,99;77,55;0,00;0,00;26,33;25,35;33,95;1,02;14,27;;;
11/05/2026;;00000000002494;BATATA LISA KG;109,190;872,42;7,99;246,43;0,00;0,00;625,99;71,75;254,02;24,29;38,56;;;
11/05/2026;;00000000004991;BATATA LISA PROMOCAO KG;1,124;2,80;2,49;0,00;0,00;0,00;2,80;100,00;0,00;0,11;38,67;;;
11/05/2026;;00000000010506;BERINJELA KG;2,335;18,67;8,00;8,83;0,00;0,00;9,84;52,72;111,53;0,38;39,05;;;
11/05/2026;;00000000004798;BETERRABA KG;11,240;61,71;5,49;49,69;0,00;0,00;12,02;19,48;24,19;0,47;39,52;;;
11/05/2026;;00000000012309;BROCOLIS UN;7,000;48,93;6,99;45,50;0,00;0,00;3,43;7,01;7,54;0,13;39,65;;;
11/05/2026;;00000000000471;CARTELA OVOS C/12;17,000;118,83;6,99;106,25;0,00;0,00;12,58;10,59;11,84;0,49;40,14;;;
11/05/2026;;00000000002495;CEBOLA GRAUDA KG;35,725;178,31;4,99;70,18;0,00;0,00;108,13;60,64;154,09;4,20;44,34;;;
11/05/2026;;00000000010508;CEBOLA MIUDA KG;3,575;16,06;4,49;7,15;0,00;0,00;8,91;55,48;124,62;0,35;44,68;;;
11/05/2026;;00000000010509;CEBOLA ROXA KG;2,800;16,78;5,99;11,31;0,00;0,00;5,47;32,59;48,34;0,21;44,90;;;
