Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;codigo da operacao;Operação;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total;Código do produto;Descrição Produto;Unidade de medida;Quantidade de itens na unidade;Quantidade de itens;CFOP;Frete do item;Seguro do item;Desconto do item;IPI do item;Base de cálculo do ICMS do item;ICMS do item;Base de calculo do ICMS ST do item;ICMS ST do item;DAE Item;ICMS desonerado do item;ICMS antecipado do item;FECOP do item;FECOP ST do item;FECOP retido do item;Valor unitário;Outras despesas do item;Valor total do item
1;431;OVOS E PRODUTOS ALIMENTICIOS DE AUSTIN;22052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;22/05/2026;23/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1260,00;000000000008064;OVOS CARTELA COM 20;UN;120,00;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1260,00;0,00;1260,00
1;198;PATRÃO DAS VERDURAS LTDA;19052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;19/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;555,00;000000000012303;AGRIAO UN.;UN;1,00;30,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,90;0,00;27,00
1;198;PATRÃO DAS VERDURAS LTDA;19052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;19/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;555,00;000000000012302;ALFACE CRESPA UN.;CX;12,00;8,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;96,00
1;198;PATRÃO DAS VERDURAS LTDA;19052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;19/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;555,00;000000000012307;CHEIRO VERDE UN.;UN;1,00;40,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,30;0,00;52,00
1;198;PATRÃO DAS VERDURAS LTDA;19052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;19/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;555,00;000000000012305;COENTRO UN.;UN;1,00;80,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,50;0,00;120,00
1;198;PATRÃO DAS VERDURAS LTDA;19052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;19/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;555,00;000000000012304;COUVE UN.;UN;1,00;60,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;60,00
1;198;PATRÃO DAS VERDURAS LTDA;19052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;19/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;555,00;000000000012306;HORTELA UN;UN;1,00;20,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,70;0,00;14,00
1;198;PATRÃO DAS VERDURAS LTDA;19052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;19/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;555,00;000000000004803;JILO KG;KG;17,00;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;90,00;0,00;90,00
1;198;PATRÃO DAS VERDURAS LTDA;19052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;19/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;555,00;000000000004405;MOSTARDA UN;UN;1,00;40,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,10;0,00;44,00
1;198;PATRÃO DAS VERDURAS LTDA;19052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;19/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;555,00;000000000012320;SALSINHA UN;UN;1,00;40,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,30;0,00;52,00
1;198;PATRÃO DAS VERDURAS LTDA;21052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;21/05/2026;22/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;421,00;000000000012303;AGRIAO UN.;UN;1,00;15,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,20;0,00;18,00
1;198;PATRÃO DAS VERDURAS LTDA;21052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;21/05/2026;22/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;421,00;000000000012302;ALFACE CRESPA UN.;CX;12,00;7,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;105,00
1;198;PATRÃO DAS VERDURAS LTDA;21052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;21/05/2026;22/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;421,00;000000000012307;CHEIRO VERDE UN.;UN;1,00;30,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,70;0,00;51,00
